Currency,"December 31, 2017","December 31, 2018","December 31, 2019","December 31, 2020",Students
United Arab Emirates Dirham,24450.0,24199.0,25660.0,26049.0,1
Albanian Lek,24450.0,23874.0,24701.0,22650.0,1
Armenian Dram,24450.0,24621.0,25085.0,26986.0,3
Argentine Peso,24450.0,33196.0,35713.0,35410.0,3
Australian Dollar,24450.0,27213.0,27901.0,25271.0,3
Azerbaijani Manat,24450.0,24593.0,24906.0,24181.0,1
Bangladeshi Taka,24450.0,23928.0,23937.0,22517.0,6
Bulgarian Lev,24450.0,25573.0,26329.0,24041.0,8
Brazilian Real,24450.0,28201.0,29125.0,36891.0,30
Belarusian Ruble,24450.0,25905.0,25047.0,29405.0,1
Canadian Dollar,24450.0,26501.0,25728.0,25109.0,11
Chinese Yuan,24450.0,25803.0,25998.0,24054.0,42
Czech Republic Koruna,24450.0,25773.0,26262.0,24102.0,2
Danish Krone,24450.0,25981.0,27432.0,24980.0,2
Algerian Dinar,24450.0,25033.0,25621.0,27009.0,1
Egyptian Pound,24450.0,21940.0,18708.0,17388.0,18
Ethiopian Birr,24450.0,23308.0,22934.0,24320.0,7
Euro,24450.0,25673.0,26997.0,24772.0,37
British Pound Sterling,24450.0,25872.0,25496.0,24655.0,7
Georgian Lari,24450.0,25392.0,26340.0,29231.0,3
Ghanaian Cedi,24450.0,24443.0,27655.0,25534.0,1
Guatemalan Quetzal,24450.0,25690.0,25749.0,25464.0,3
Hong Kong Dollar,24450.0,24419.0,24548.0,24364.0,5
Honduran Lempira,24450.0,24736.0,24976.0,23758.0,1
Hungarian Forint,24450.0,26276.0,27717.0,26876.0,3
Indonesian Rupiah,24450.0,25700.0,25098.0,24857.0,2
Israeli New Sheqel,24450.0,26633.0,25437.0,23803.0,7
Indian Rupee,24450.0,26521.0,26496.0,26256.0,18
Jamaican Dollar,24450.0,24964.0,25418.0,26346.0,1
Jordanian Dinar,24450.0,24006.0,24773.0,25202.0,1
Japanese Yen,24450.0,24084.0,24709.0,23613.0,12
Kenyan Shilling,24450.0,23316.0,22799.0,23486.0,20
Kyrgystani Som,24450.0,24558.0,25061.0,27702.0,1
South Korean Won,24450.0,25701.0,27529.0,25779.0,12
Kazakhstani Tenge,24450.0,27418.0,26939.0,27581.0,9
Moroccan Dirham,24450.0,25468.0,26251.0,24357.0,4
Mongolian Tugrik,24450.0,23353.0,25410.0,25735.0,10
Mexican Peso,24450.0,23773.0,23175.0,23489.0,16
Malaysian Ringgit,24450.0,25336.0,25826.0,25857.0,6
Nigerian Naira,24450.0,22726.0,21037.0,19736.0,19
Norwegian Krone,24450.0,25376.0,26569.0,25399.0,6
Nepalese Rupee,24450.0,26110.0,26234.0,25294.0,1
New Zealand Dollar,24450.0,25866.0,26409.0,24266.0,1
Philippine Peso,24450.0,24908.0,24400.0,22562.0,8
Pakistani Rupee,24450.0,30003.0,31997.0,30469.0,27
Polish Zloty,24450.0,26500.0,27117.0,25939.0,5
Romanian Leu,24450.0,25235.0,26502.0,24099.0,5
Russian Ruble,24450.0,28731.0,26009.0,29863.0,11
Saudi Riyal,24450.0,24419.0,25423.0,24539.0,1
Swedish Krona,24450.0,26649.0,28578.0,24893.0,5
Singapore Dollar,24450.0,25297.0,25834.0,25445.0,6
Swazi Lilangeni,24450.0,27540.0,27385.0,27422.0,1
Thai Baht,24450.0,24635.0,23387.0,23434.0,2
Tunisian Dinar,24450.0,27919.0,25696.0,23673.0,2
Turkish Lira,24450.0,28894.0,30237.0,33760.0,6
Trinidad and Tobago Dollar,24450.0,25006.0,25743.0,25744.0,1
New Taiwan Dollar,24450.0,25746.0,25908.0,24360.0,10
Ukrainian Hryvnia,24450.0,22407.0,19135.0,21747.0,38
Ugandan Shilling,24450.0,24926.0,24706.0,23471.0,1
United States Dollar,24450.0,24485.0,24942.0,24429.0,76
Uruguayan Peso,24450.0,26001.0,28541.0,29582.0,2
Uzbekistan Som,24450.0,22468.0,23104.0,22712.0,1
Vietnamese Dong,24450.0,24666.0,24453.0,23732.0,35
South African Rand,24450.0,27594.0,27001.0,27354.0,4
